iterationNum,error,c_params
0,0.00692920025192584,-0.0698 0.9364 0.0791 1.003 0.5247 1.3631 0.9543 1.069 1.0237 0.9811 0.4767 0.5753 0.8668 1.145 -0.0792 1.4046 1.1471 1.0516
1,0.006175524762152943,-0.07048927216693268 0.9417035908543516 0.07456682762186441 1.0081028386280384 0.5374423576941318 1.3568935989839397 0.9555046467436497 1.069031204078503 1.0237915171668746 0.9814058837056069 0.47608661323243023 0.5750628275772557 0.8678393805010614 1.141327096630176 -0.07124331431882275 1.4032533489507797 1.1471313928329048 1.0516916713881719
2,0.005627966927571435,-0.0675399004178965 0.9394529057209561 0.07383725410937719 1.0059124120416083 0.5337401412534277 1.360080798843844 0.9582935319722392 1.0690639780863571 1.0238840094009805 0.981846618669256 0.47594488004239743 0.5754962276878238 0.8666054990789626 1.146321686504322 -0.0815409070826809 1.4030699379651146 1.1471643419437267 1.0517842696986104
3,0.005334635605159571,-0.06744857938707194 0.9416086679416217 0.07159260236679874 1.0080149083192902 0.5405643163583091 1.3575171469797258 0.9595107326414204 1.0690954980651441 1.023975111188422 0.9822078649907636 0.47548093216863274 0.5753916335998213 0.8673871850431337 1.1439919271934016 -0.07888868893735809 1.4020787049660535 1.1471960594281272 1.0518754981881342
4,0.005130289277501134,-0.06578907526973027 0.940670707702457 0.07086219554289384 1.0070886162921502 0.5403262110413826 1.3588547679969638 0.9613498528320249 1.0691276866791954 1.0240666320877925 0.9826376790190468 0.47524493895375325 0.5755924286949412 0.8669453832136793 1.1456693989347475 -0.08421470912475326 1.4015257006846336 1.1472284409411586 1.051967121595883
5,0.00498373250266442,-0.06538178731431685 0.9415246478692485 0.06958751575193467 1.0079295310930643 0.5441668661477282 1.3579215094274035 0.9624695172677499 1.0691593206164176 1.0241575175046713 0.9830463090898071 0.47488327422024185 0.5755955730401002 0.867245643335581 1.1444021915517393 -0.08422398625371869 1.4006108553216687 1.147260280242632 1.052058114955351
6,0.004866659440837929,-0.06442013536468932 0.9412371097002213 0.06891333647485076 1.0076417518057252 0.5452677065534887 1.3584506283033049 0.9637740161292585 1.0691911735070352 1.0242484872020752 0.9834898122298512 0.4746209615125849 0.5757251084293391 0.866996415318511 1.1446986723990267 -0.08724578370452549 1.3998481792112936 1.1472923387345657 1.052149180063422
7,0.0047682170879180885,-0.06398152315606107 0.9415991850917647 0.06810200048133425 1.007999287188619 0.5477437790923929 1.3581787699238983 0.9647625385674228 1.069222779120818 1.0243391351370643 0.983932144322544 0.4743196261687842 0.5757946909054961 0.8669635376877477 1.1439098074730054 -0.08827401175255661 1.3989475166606653 1.1473241569331118 1.0522399221046197
8,0.004682447712303417,-0.06339454562080805 0.9415746600619244 0.06754262082721083 1.0079753730824055 0.5492043202404422 1.358412473144015 0.9657732423257134 1.0692544177294887 1.0244297219290837 0.9843902380665577 0.474059985813088 0.575915090000987 0.8666872409915443 1.1436554439253763 -0.0902950802268057 1.398096502254789 1.147356010125033 1.052330595307985
9,0.004605956368708662,-0.06303261800926101 0.9417673005470634 0.06697660168925654 1.008166899985624 0.5510445384705138 1.3583915658546337 0.9666368666692526 1.0692859288030425 1.024520107703269 0.9848524668677212 0.4737958202905532 0.5760234482434183 0.8664447434321192 1.14302214252906 -0.09160493076717946 1.3972030426066702 1.147387740013062 1.0524210636841227
10,0.004536918113188939,-0.06266847470518225 0.9418481492408706 0.06652825072310445 1.0082462028082526 0.552501584588945 1.3585377111773074 0.9674755005401743 1.0693174055612742 1.0246103795448185 0.9853227199785385 0.4735530831238743 0.5761551898143557 0.8660893946907562 1.1425545112837316 -0.0931777078636323 1.3963305908419283 1.1474194378726288 1.0525114122850892
11,0.004473824013151807,-0.06240880508672334 0.9419981737490642 0.06612414916061277 1.0083942962403232 0.5540104831219989 1.358615696243084 0.9682410413844621 1.0693487977667968 1.0247004934845036 0.9857960317863241 0.4733145429090174 0.5762920548582958 0.8657161723933178 1.141961991088074 -0.0944906617808007 1.3954498968834297 1.1474510539893983 1.0526015984104984
12,0.004415693245959912,-0.062177869573744715 0.9421101938525168 0.06578413324746157 1.0085077685083181 0.5553520427740591 1.3587493867265854 0.9689655073833982 1.0693801337730522 1.0247904770814622 0.9862733789473838 0.47308934933287633 0.5764416665051362 0.8652861237165549 1.1414029410144648 -0.09584194857676642 1.3945834639101053 1.1474826159328895 1.0526916490589944
13,0.004361758313265686,-0.062011825287093515 0.9422411819364142 0.06548119437138313 1.008641189822169 0.5566617012718437 1.3588691550230196 0.9696415123675365 1.0694113992656669 1.0248803186764546 0.9867525986822389 0.4728719833148315 0.576598869826712 0.8648301988767717 1.1408029085624465 -0.09707776851585162 1.393724251316614 1.147514109405861 1.0527815529984859
14,0.004311471023300412,-0.06188179329094476 0.9423681066134251 0.06522080341061906 1.0087711772338976 0.5578776822134266 1.3590096581693734 0.9702868873350764 1.0694426030328925 1.024970026749184 0.9872328305574747 0.4726625785447924 0.5767643332086139 0.8643406862360024 1.1402111990905475 -0.0982844603618771 1.3928788435759372 1.1475455428161725 1.052871318613434
15,0.004264283380117552,-0.06179253148549015 0.942500064515946 0.06498684787452334 1.0089018388597357 0.5590384234108596 1.3591526108820404 0.9709025675746084 1.0694737415328637 1.025059598145277 0.9877126996715632 0.4724630536524516 0.5769372920196238 0.8638307651811736 1.1396068535456056 -0.09943170624739255 1.3920450920447174 1.1475769124852357 1.0529609429173863
16,0.004219953520134607,-0.061731091932486055 0.9426317843348448 0.06478920160763281 1.0090359567779208 0.560138714886264 1.359304457057808 0.9714915987591738 1.0695048167934826 1.0251490346637793 0.9881912872079973 0.47227205018656654 0.5771188761901146 0.8633046883720237 1.1390082193176434 -0.10053325614503383 1.3912248609482116 1.1476082202380724 1.0530504277537776
17,0.004178061356755635,-0.061698022787428516 0.9427654951109578 0.06461590629129585 1.0091711224233508 0.5611873074453976 1.35946129070285 0.9720523919225867 1.0695358285697594 1.0252383360389417 0.9886669661199734 0.47208782474784267 0.5773050222725958 0.8627629334129754 1.1384038406606376 -0.10159182388603197 1.390417408925353 1.1476394656911384 1.0531397729448984
18,0.004138456348176759,-0.061688180382167425 0.9429010260640022 0.06446810158440353 1.0093060789221833 0.5621850583320351 1.3596237955483723 0.972596639202005 1.069566777521277 1.0253275029515316 0.9891398113793729 0.47190938797360177 0.5774963937167972 0.8622123936306874 1.1378074991393456 -0.10260946488008327 1.3896244155460877 1.1476706493579805 1.0532289792364793
19,0.004100822388549901,-0.061692183635810784 0.9430381125400686 0.0643382673078291 1.0094474159043338 0.5631415439053984 1.3597921241502233 0.9731245473033143 1.0695976636593643 1.0254165350608746 0.9896101114374858 0.4717402645814371 0.5776941291429948 0.8616563269514892 1.1372106711009422 -0.1035888997576945 1.388846760546473 1.1477017711346877 1.053318046376125
20,0.004065070667343249,-0.06171707724267083 0.9431740699026988 0.06422719901267779 1.0095865323337312 0.5640558709856451 1.359965301537889 0.9736370141786191 1.0696284874243664 1.0255054324532373 0.9900748548450143 0.47157677100084444 0.5778954234286985 0.8610972093330942 1.1366191470501272 -0.10453359760829803 1.3880829714250067 1.1477328313659938 1.053406974490239
21,0.00403103874373997,-0.061755027783627105 0.9433101168046263 0.06413310392623564 1.0097249663466592 0.564932260017854 1.360141081597268 0.9741327258400945 1.069659248916328 1.0255941950935195 0.9905351965369344 0.471419587425159 0.5781008506307409 0.8605361558507524 1.1360363661609771 -0.10544635235395601 1.3873308604447971 1.1477638300557809 1.0534957636362094
22,0.003998597254196536,-0.06180712258137306 0.9434415331979732 0.06404838426503752 1.009858379063636 0.5657755501674064 1.36031942993409 0.9746101333610115 1.0696899482672881 1.0256828226372319 0.9909891176273672 0.47126726908716604 0.5783081181973158 0.8599762807838488 1.1354561729295989 -0.10632886875397479 1.3865922823605632 1.147794767262995 1.0535844135389612
23,0.003967636079122824,-0.06186634382618622 0.9435786603654736 0.0639779745791564 1.0099965329401772 0.5665883090385339 1.3605001097194305 0.9750779966870173 1.0697205859100156 1.025771315291918 0.9914365681879771 0.47112201304190593 0.5785191230924391 0.8594165293619209 1.1348841437528476 -0.10717792495795828 1.3858670309377776 1.147825643352013 1.0536729244867262
24,0.003938060032228231,-0.061932872167440936 0.9437098405237984 0.06391273972230785 1.0101272707228248 0.5673682962461141 1.3606833320339555 0.9755338634173539 1.069751162390459 1.025859672933189 0.9918761632957721 0.47098184872077076 0.5787310212035703 0.8588603411599836 1.1343224723883258 -0.10800788295078158 1.385154953975981 1.1478564587964941 1.05376129638643
25,0.003909805700107019,-0.06200798818954097 0.9438440562181029 0.06385928948162556 1.010263225365071 0.5681246339085348 1.360866157783049 0.975980097015292 1.0697816771838224 1.025947894510971 0.9923107959053714 0.4708478889612224 0.5789452794019196 0.8583080701797794 1.133766509671646 -0.1088000395950352 1.3844542285879164 1.1478872130445175 1.0538495282831888
26,0.003882704765695547,-0.0620892592132252 0.9439741207692569 0.0638117104439957 1.0103919053325372 0.5688510719594311 1.3610526937852019 0.9764141577882292 1.0698121316714506 1.0260359807405786 0.9927406937490837 0.4707194355706317 0.5791627470225439 0.8577613864102559 1.1332179998066385 -0.10958285198148238 1.3837678438729206 1.147917907398925 1.0539376209261246
27,0.003856793395006859,-0.06217801860540221 0.9441067257853809 0.06377390708691337 1.0105236647356373 0.5695585547931664 1.3612365919971254 0.976839981810988 1.0698425247880778 1.0261239305121466 0.9931611530206574 0.47059575876623827 0.5793803045256797 0.8572205234560084 1.1326777930368783 -0.11033220629138496 1.3830919612345514 1.1479485407859007 1.0540255732886399
