iterationNum,error,c_params
0,0.006280951780840213,-0.0698 0.9364 0.0791 1.003 0.5247 1.3631 0.9543 1.069 1.0237 0.9811 0.4767 0.5753 0.8668 1.145 -0.0792 1.4046 1.1471 1.0516
1,0.0052947919241902435,-0.06981731675096887 0.9415651146325955 0.07403128028306549 1.0079645812267382 0.5376140670918902 1.3562368630023305 0.954966648598367 1.069 1.0237 0.980790553806755 0.4765532687431795 0.5750195108146205 0.8676388798753714 1.1421190573212834 -0.0715608273166251 1.4019265821411626 1.1471 1.0516
2,0.004612312281896065,-0.0662004776735503 0.938986638719832 0.07294464067326689 1.0054452442853017 0.5349238964209362 1.3574721155254454 0.9574107158665507 1.069 1.0237 0.9804041973161339 0.47697412049618587 0.5750921936767067 0.8659286865528183 1.1468947554141247 -0.08126226081148398 1.4006369522902038 1.1471 1.0516
3,0.004194381454525248,-0.0649598012336346 0.9406572596955842 0.07002829761133558 1.007078768806084 0.541165351488485 1.3543928511652688 0.9587465507095142 1.069 1.0237 0.9800674993700168 0.47700491694282626 0.5748878179637512 0.8663268024971973 1.1463818441037943 -0.08017482545938599 1.3987875782273347 1.1471 1.0516
4,0.003866775929732384,-0.06254911623277888 0.9398956657284729 0.06837942230602304 1.0063207060953427 0.5424278550236937 1.3538454521700682 0.9606285854607117 1.069 1.0237 0.9797128476139728 0.4772287979495873 0.5747923043887773 0.8658269725664527 1.1483869164698601 -0.08468659551682156 1.397419220777519 1.1471 1.0516
5,0.0035898632610407728,-0.06092908958056283 0.940342664731293 0.06629503151744202 1.00675978201816 0.5461472749195937 1.352149360663559 0.9621318013434507 1.069 1.0237 0.9793857157774358 0.4773293636434745 0.5746199605275664 0.8659901945526556 1.1487608353216159 -0.0859341308282359 1.3959217042135164 1.1471 1.0516
6,0.0033448476915303497,-0.059048710064485845 0.9401530863779469 0.06460775213585307 1.006564807844592 0.5484771078823326 1.3511519545469022 0.9637415498154078 1.069 1.0237 0.9790636594947407 0.47747882537477976 0.5744735480773684 0.8659026299749265 1.1497809670274748 -0.08861309712540304 1.3945857090235037 1.1471 1.0516
7,0.0031245696260089584,-0.0574434936254957 0.9402549267678865 0.0628850526185276 1.0066649132941814 0.5513128887777964 1.3499320681219609 0.965206245071698 1.069 1.0237 0.9787584421230326 0.4775945620905638 0.5743093887954714 0.865988290326969 1.1503507685451067 -0.09039477329395924 1.3932503076602496 1.1471 1.0516
8,0.0029251505315972502,-0.05584813509267155 0.9402171451030683 0.061313522629151546 1.0066276457680912 0.5537597998327428 1.348906366762235 0.966657093197684 1.069 1.0237 0.9784635440741704 0.4777202110413806 0.5741499254036461 0.8660128585329357 1.1510294948867934 -0.09241784485279661 1.3919849426276414 1.1471 1.0516
9,0.0027439948686438956,-0.05437628956306794 0.9402448256722385 0.05979550058269835 1.0066554779794479 0.556229269545058 1.3478760252790845 0.9680346844363941 1.069 1.0237 0.9781851574340605 0.47783871202569916 0.5739891966244336 0.8660691439423573 1.1515753177951074 -0.09417554723238977 1.3907524977740173 1.1471 1.0516
