iterationNum,error,c_params
0,0.5303779926782536,0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8
1,0.5388043719009791,0.7594139201345091 0.8929460139277783 0.7436248299732694 0.8870798643204073 0.9087369185941275 0.8712688954671599 0.8126349928064992 0.8 0.8 0.7594155981224939 0.8929448086013337 0.7436240368747801 0.8870764105854909 0.9087368830838956 0.8712719861769761 0.8126312405010696 0.8 0.8
2,0.31093845860667846,0.8648978087511452 0.8688760480880648 0.8398563453234312 0.8725394040097322 0.8939173680119036 0.8474730449413205 0.9349460657367674 0.8 0.8 0.8648993259056948 0.8688613684680795 0.8398567624848146 0.8725362385007074 0.893912864452384 0.847474108043306 0.934943483896689 0.8 0.8
3,0.6059875973780641,0.7740682252279685 0.9587549713189496 0.7857565647166148 0.9851350501985656 0.9470272411674044 0.9968334897602663 0.8038626370147113 0.8 0.8 0.7740606487252442 0.9587236435358905 0.7857709961137436 0.9851040942483622 0.9470235182324764 0.9968255727811485 0.8038408153056157 0.8 0.8
4,0.11749217516828454,0.8550324239233681 0.9425118813533243 0.8762205941176188 0.952781420312322 0.9212663143999095 0.9739855562579165 0.9121064617333476 0.8 0.8 0.855013228700922 0.9424764667241866 0.8762502370924743 0.9527429259232412 0.9212686598839049 0.9739776090228476 0.9120882738088794 0.8 0.8
5,0.08368055405672262,0.9017458058069814 0.9384436756867793 0.9122777133484441 0.9399344042939853 0.9278492713211799 0.9504876860141905 0.9544813923815912 0.8 0.8 0.9017248168827786 0.9384070730792541 0.9123148395558786 0.9398952164827444 0.9278538430805107 0.9504748156002524 0.9544607317760717 0.8 0.8
6,0.10960540992044579,0.8888875072332926 0.9794222073024902 0.8752947939006664 0.9728589332809939 0.9929639169571779 0.9592813739335408 0.9146160372909643 0.8 0.8 0.88888750822351 0.979387759322413 0.8753349010369855 0.9728234716292713 0.9929820136040132 0.9592662658963336 0.9145898161917387 0.8 0.8
7,0.07958820953528951,0.9428767503020381 0.956114271341399 0.9284504262759835 0.9526777505645428 0.9704837700572935 0.9382713882246662 0.9700437753796645 0.8 0.8 0.9428711699063019 0.9560782723584133 0.9284983675903106 0.9526363830234945 0.9705003915764691 0.9382545715102658 0.9700151293060284 0.8 0.8
8,0.1473998493904741,0.8881531195129845 0.9993144964658405 0.8894532690460352 1.0034805566980287 0.9979514589941055 1.0047838459512402 0.9144876781703548 0.8 0.8 0.8881556679094775 0.9992611705756212 0.8895017315258 1.0034255527974514 0.9979785318791894 1.004771123975848 0.9144461900144533 0.8 0.8
9,0.04851274584334037,0.9485252905491375 0.9713602615182942 0.9490437088782788 0.9736974878771762 0.9707702973823787 0.974222878908087 0.9780338831238111 0.8 0.8 0.9485261332282326 0.971308965621602 0.9491084186078745 0.9736343578228192 0.97079680320332 0.9742090041949127 0.977999233192627 0.8 0.8
