iterationNum,error,c_params
0,0.00016270039301335265,0.9856620044758667 1.024860918212852 0.9762560820403609 1.0301144784711793 1.0342675761246458 1.020706732401116 0.9925924103038222 1.0 1.0 0.9856617760771317 1.0248618181077536 0.9762542861500376 1.0301171969998508 1.0342664212696906 1.0207062243297036 0.9925941380724258 1.0 1.0
1,0.00016070537558178537,0.985695574221442 1.0248041592676478 0.9762945024962919 1.0301314488275262 1.0342059785286128 1.020728503998439 0.9926041085135054 1.0 1.0 0.9856953402131136 1.0248050612322614 0.9762926656469445 1.0301341397937969 1.0342048446069412 1.0207280060920711 0.9926058087905468 1.0 1.0
2,0.0001590729802687394,0.9857245176540792 1.0247516268932906 0.9763255321523241 1.030152136722964 1.0341513753986349 1.0207513074673746 0.9926110141027097 1.0 1.0 0.9857242944946981 1.0247525464760254 0.9763236916082152 1.030154841830369 1.0341502440266042 1.020750815012347 0.9926126975889793 1.0 1.0
3,0.00015769534089182178,0.9857499054511308 1.0247025333728665 0.9763504787341525 1.0301758085691721 1.034102704662686 1.0207745405598356 0.9926142000569369 1.0 1.0 0.9857496555498177 1.0247034365000525 0.9763486324739192 1.0301785218520023 1.0341015926754975 1.020774067013541 0.9926158695164713 1.0 1.0
4,0.0001565007644392844,0.9857725103177981 1.0246561942109942 0.9763703385970125 1.0302018181644117 1.0340591426715144 1.020797785301447 0.9926144887048515 1.0 1.0 0.9857722614294248 1.024657082748956 0.9763684979437606 1.0302045237510271 1.0340580440631788 1.0207973041291267 0.9926161775809569 1.0 1.0
5,0.00015544040342121586,0.9857930648656713 1.0246121505434986 0.9763859743678892 1.030229682047989 1.0340199699333956 1.0208207121182904 0.9926125874348769 1.0 1.0 0.985792786411011 1.0246130111679084 0.9763841137454997 1.0302323485073748 1.034018871599559 1.0208202163473556 0.9926142695885831 1.0 1.0
6,0.00015448057588855448,0.9858119881964481 1.024569903944377 0.9763980540534992 1.0302589367428467 1.0339845929614888 1.0208430898251757 0.9926090105378 1.0 1.0 0.9858117153811763 1.0245707631244831 0.9763961714896191 1.0302615874389813 1.0339835041724528 1.0208425843233557 0.992610678401221 1.0 1.0
7,0.00015359784348145474,0.9858296994778089 1.0245291208647558 0.9764070913707472 1.0302892569916058 1.0339525296194212 1.0208647741047037 0.9926041527365768 1.0 1.0 0.9858294510815003 1.0245300345296744 0.9764052195829013 1.0302918976970175 1.0339514007337294 1.0208642400052328 0.9926058524809306 1.0 1.0
8,0.00015277543388264827,0.9858465255693543 1.024489594529757 0.9764136340699762 1.030320409928646 1.033923328857629 1.020885621257694 0.992598416393147 1.0 1.0 0.9858462826769429 1.024490531145523 0.9764117539590809 1.030323058479897 1.0339222033419626 1.0208851054139882 0.9926001119293508 1.0 1.0
9,0.00015200118050230765,0.9858626831084635 1.024451108877039 0.9764180302335694 1.0303521937130151 1.0338966278686 1.0209055872502144 0.9925920294462859 1.0 1.0 0.9858624461193999 1.0244520310547347 0.976416111665141 1.0303548321301907 1.0338955234658638 1.0209050905290493 0.9925936932508703 1.0 1.0
10,0.00015126577120032372,0.9858783821409678 1.0244134438378938 0.9764205442449895 1.0303844438509933 1.0338721639038542 1.0209246725479904 0.9925851611350424 1.0 1.0 0.98587815699459 1.0244143958023009 0.9764186905541882 1.0303870936096142 1.0338710605289774 1.0209241810907226 0.9925868388423654 1.0 1.0
11,0.00015056244727190514,0.9858937394092366 1.0243764909360715 0.9764214909833839 1.0304170401019566 1.0338496267045527 1.0209428457422614 0.9925780283327417 1.0 1.0 0.9858935218941433 1.0243774454293453 0.9764196102181529 1.0304196824421086 1.0338485426548953 1.020942358539634 0.9925796925161913 1.0 1.0
12,0.00014988601555404412,0.9859088438829238 1.0243401414136175 0.9764210681024681 1.0304498872332837 1.0338288459121787 1.0209601325076523 0.9925707169140521 1.0 1.0 0.9859086778008237 1.0243411250500614 0.9764191931793872 1.0304525490941367 1.0338277740556578 1.020959648596456 0.992572397571178 1.0 1.0
13,0.00014923218571542173,0.9859238236502461 1.0243043044655578 0.9764194508691266 1.0304829081697013 1.0338096067734075 1.020976536557029 0.9925633611580613 1.0 1.0 0.9859236794077672 1.0243052943627915 0.9764176087590917 1.0304855856039965 1.0338085431027828 1.020976048183613 0.9925650323810008 1.0 1.0
14,0.00014859774621906932,0.9859386896770409 1.024268891932603 0.9764167676100246 1.030516022469296 1.0337917327252617 1.0209920969490631 0.9925559826290082 1.0 1.0 0.9859385426144529 1.0242698605929035 0.9764149209030394 1.0305186779812638 1.0337906642986492 1.0209916001645156 0.9925576625067261 1.0 1.0
15,0.0001479799583193405,0.9859534858967491 1.0242338227947811 0.9764131695799712 1.0305491797700321 1.033775078439289 1.0210068261510938 0.9925486705583731 1.0 1.0 0.9859533372596845 1.0242347939115077 0.9764113160941068 1.030551844905058 1.0337740204695316 1.0210063272695957 0.9925503637770946 1.0 1.0
