iterationNum,error,c_params
0,0.004136458106681799,0.996102815440549 1.0205657815072584 0.9861077211369444 1.0264557576541147 1.0304394936707337 1.0164216256212755 1.0025549852448257 0.8 0.8 0.9962051815774844 1.0204263181165631 0.9862915474543241 1.0262777596984725 1.0304996400581952 1.016402765486338 1.0025294199152772 0.8 0.8
1,0.004064150220597913,0.9951695940422233 1.0208685126902697 0.985168089252452 1.0259724747626802 1.030748473962947 1.0159322326704674 1.0013687880602762 0.8 0.8 0.9952714993389439 1.0207295473895583 0.9853520408962031 1.0257947702101424 1.0308088559027682 1.0159136478000843 1.0013433670423053 0.8 0.8
2,0.004006345097196959,0.9943107871417382 1.0211733596099308 0.9843032853342759 1.0255695826426061 1.0310591205339894 1.0155235839089753 1.000346797828545 0.8 0.8 0.9944122979939787 1.021034801443543 0.98448738563611 1.025392089967591 1.0311197619657584 1.0155052700473401 1.000321486088931 0.8 0.8
3,0.003959720365881158,0.9935185108320785 1.0214786967606309 0.9835055137401362 1.0252384540977781 1.0313697255870742 1.0151871479096224 0.9994654763123669 0.8 0.8 0.9936196858425081 1.021340467125433 0.9836897818821246 1.0250611031632881 1.0314306472265604 1.01516910080706 0.9994402440100291 0.8 0.8
4,0.003921729772255985,0.9927857676257387 1.0217832694790858 0.982767838726869 1.0249713199503634 1.0316789777014248 1.0149152238086174 0.9987044425590208 0.8 0.8 0.9928866585198163 1.0216453003981898 0.9829522904543126 1.0247940503900081 1.0317401974903713 1.0148974392677257 0.9986792643095305 0.8 0.8
5,0.003890421451840629,0.9921063485188261 1.022086130527563 0.9820840908435409 1.0247612019478245 1.0319858942407256 1.0147008786656895 0.9980460865673814 0.8 0.8 0.9922070009512739 1.021948363166601 0.9822687390646635 1.0245839617786936 1.0320474277340201 1.0146833525718848 0.9980209408135118 0.8 0.8
6,0.003864298203113783,0.9914747444051609 1.0223865851920964 0.9814487822453513 1.0246018459095412 1.0322897626837062 1.014537884605641 0.9974752213981515 0.8 0.8 0.99157519867163 1.0222489685830494 0.9816336375301898 1.0244245903423652 1.0323516233856356 1.0145206129522149 0.9974500898612509 0.8 0.8
7,0.0038422103633392744,0.9908860663903594 1.0226841442324135 0.9808570304583543 1.0244876567596595 1.032590090232425 1.0144206574018582 0.9969787723301087 0.8 0.8 0.9909863580531133 1.0225466341804992 0.9810421014595835 1.0243103471803106 1.0326522898866906 1.0144036363047875 0.9969536395402533 0.8 0.8
8,0.0038232738620307847,0.9903359744423607 1.0229784839063945 0.9803044900498097 1.024413636576874 1.0328865609183873 1.0143441976145064 0.9965455009146209 0.8 0.8 0.990436134882981 1.0228410420504508 0.9804897838483706 1.0242362396717597 1.0329491097571954 1.0143274233221133 0.9965203538023245 0.8 0.8
9,0.0038068076360929497,0.989820613756794 1.0232694122946762 0.9797872915878311 1.0243753263613908 1.0331789994078888 1.0143040350218715 0.9961657613230553 0.8 0.8 0.9899206706652627 1.023132005296771 0.9799728139857008 1.0241978133693503 1.0332419063663996 1.014287503922988 0.9961405888695717 0.8 0.8
10,0.0037922858845684587,0.9893365581936299 1.0235568411374123 0.979301987293835 1.0243687519083857 1.0334673406948032 1.0142961767689473 0.995831286191483 0.8 0.8 0.9894365359966293 1.0234194399897738 0.9794877430518555 1.0241910979782034 1.0335306135948417 1.0142798853959867 0.9958060791265253 0.8 0.8
11,0.0037793016666399313,0.9888807601195915 1.023840762457085 0.9788455027439349 1.0243903739428022 1.0337516049175093 1.0143170594169102 0.99553499909875 0.8 0.8 0.9889806803624901 1.0237033418865127 0.9790314957839049 1.0242125575842727 1.0338152506268807 1.0143010044458434 0.9955097496440617 0.8 0.8
12,0.0037675391536465003,0.9884505060444652 1.0241212292953985 0.9784150940651062 1.0244370425219573 1.0340318765935632 1.0143635049382371 0.9952708509175807 0.8 0.8 0.9885503877282543 1.0239837672518484 0.9786013276317632 1.0242590451334868 1.0340959011601687 1.0143476831881242 0.9952455525623021 0.8 0.8
13,0.0037567524732494717,0.9880433774479868 1.0243983399562142 0.9780083100301659 1.0245059555639404 1.0343082876222078 1.0144326805693993 0.9950336773754703 0.8 0.8 0.9881432373227472 1.0242608171709346 0.9781947868260015 1.0243277610287866 1.0343726963899784 1.0144170889996136 0.9950083246862119 0.8 0.8
14,0.0037467495707331714,0.9876572162327725 1.0246722252126164 0.9776229585579951 1.0245946213344392 1.0345810034932175 1.0145220623629785 0.9948190753863738 0.8 0.8 0.9877570690631399 1.024534624823209 0.9778096808535698 1.0244162156728525 1.0346458012025286 1.014506698072097 0.9947936638456646 0.8 0.8
15,0.0037373798865486117,0.9872900943084683 1.024943038021794 0.9772570771255533 1.0247008246254155 1.0348502121883614 1.014629402236713 0.9946232958956982 0.8 0.8 0.9873899531015851 1.0248053452420267 0.9774440468487929 1.0245221956976327 1.034915403059105 1.014614262456994 0.9945978217589093 0.8 0.8
16,0.003728524936265778,0.9869402868184294 1.0252109453140923 0.976908906658284 1.0248225963773285 1.0351161153423507 1.0147526982768282 0.9944431511909143 0.8 0.8 0.9870401630312942 1.025073147159228 0.9770961254684436 1.0246437336293948 1.0351817031475725 1.0147377803706574 0.9944176113696532 0.8 0.8
17,0.003720091098463173,0.9866062486028355 1.0254761215274553 0.976576868498953 1.0249581864583026 1.0353789212835345 1.0148901680514744 0.9942759348591418 0.8 0.8 0.9867061523222662 1.0253382065715988 0.9767643378449481 1.0247790807026294 1.035444909410991 1.014875469506832 0.9942503268180806 0.8 0.8
18,0.0037120040831534517,0.9862865935009698 1.0257387435657384 0.976259544098643 1.0251060393286653 1.0356388396260203 1.0150402246839743 0.9941193527499489 0.8 0.8 0.9863865336052012 1.0256007017363704 0.9764472652673273 1.0249266825566703 1.0357052311295045 1.0150257431085323 0.994093674420416 0.8 0.8
19,0.0037042046804332315,0.9859800761690729 1.025998986943747 0.9759556571177181 1.0252647723301125 1.0358960771412824 1.015201455438238 0.9939714635097074 0.8 0.8 0.9860800604658018 1.0258608093409316 0.9761436312695673 1.0250851575482092 1.0359628747880698 1.0151871885541854 0.9939457132144123 0.8 0.8
20,0.003696645485451895,0.9856855760942747 1.0262570228878825 0.9756640576328568 1.025433156331685 1.0361508346743553 1.0153726025829795 0.9938306274076731 0.8 0.8 0.985785611446603 1.0261187016316082 0.9758522858352362 1.0252532774262455 1.0362180409824777 1.015358548224696 0.9938048037948267 0.8 0.8
21,0.0036892883690827043,0.9854020835469408 1.0265130162211633 0.9753837082271393 1.025610098518046 1.0364033049103616 1.0155525463183641 0.9936954623439045 0.8 0.8 0.9855021759861434 1.0263745443197712 0.9755721914739709 1.025429950135469 1.036470922181226 1.0155387024254707 0.993669564337802 0.8 0.8
