iterationNum,error,c_params
0,0.03619832196959975,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1,0.008752849266917256,0.9781218595685651 1.0256861889422197 0.9644849852693624 1.003883398734228 1.0393147667085412 0.9902544261235038 0.9970520483441019 1.0 1.0 0.9781224443701008 1.0256843181035968 0.9644847264020694 1.0038837312424782 1.0393142152230521 0.9902552441265773 0.9970515630553926 1.0 1.0
2,0.0024304239312312468,0.9875986735492446 1.0201254040204806 0.9714597664396791 0.9950781420473979 1.0362574632597967 0.9789447404572833 1.0123570851742962 1.0 1.0 0.9876000475099771 1.020125599003176 0.9714597423825257 0.9950755207843783 1.0362572681841193 0.9789449592612928 1.0123553241232843 1.0 1.0
3,0.001645760420188813,0.9843714180991011 1.0217380814134318 0.9670162471739261 0.9948359416891337 1.0390851980333242 0.9774855803625032 1.0156295460392404 1.0 1.0 0.9843729944469297 1.0217371005532923 0.9670148559770566 0.9948329564802298 1.039084396297169 0.977486139074276 1.0156275451498025 1.0 1.0
4,0.0013441345639005943,0.9834678642775159 1.0216224475828708 0.9653912164467998 0.9938402649930123 1.0396907864935958 0.9757698802550675 1.0189047909532032 1.0 1.0 0.9834680367873192 1.021621496859466 0.9653900373875601 0.9938379297066172 1.0396905453833973 0.9757705524400915 1.0189031595621616 1.0 1.0
5,0.001208142375086501,0.9823356906134368 1.0215764399549199 0.9638570564554488 0.9934224596271356 1.040046867368241 0.9749507129447164 1.0207642661517984 1.0 1.0 0.9823357244988332 1.02157610809384 0.9638557279460962 0.9934216545442206 1.0400461134815568 0.9749513158306375 1.0207631957791667 1.0 1.0
6,0.0011414612764181725,0.9815697140207859 1.0213429117515158 0.9628176766364678 0.9930578312800523 1.040086971169102 0.9743124170996263 1.0220392130767284 1.0 1.0 0.9815696804180661 1.0213416356949088 0.9628159272500563 0.9930573487327082 1.040086475230079 0.9743131627554802 1.0220384995440261 1.0 1.0
7,0.001106102828162636,0.9809566932020316 1.0210756728455677 0.9620060084406877 0.9927921030754889 1.0400178070933108 0.9738485648258993 1.0228323265241563 1.0 1.0 0.9809572606016858 1.0210736463450831 0.9620046022540624 0.9927923873425385 1.0400173546145968 0.9738489624928737 1.0228324364464634 1.0 1.0
8,0.0010855960142970042,0.9804875033180229 1.0207840202692327 0.9613766335001479 0.9925742931995895 1.0398864598667237 0.9734706599731483 1.0233251484129848 1.0 1.0 0.9804882733400498 1.0207826330197913 0.9613757474762286 0.9925745067081219 1.0398862275590104 0.9734710523658865 1.0233257327556975 1.0 1.0
9,0.0010725344958681115,0.980118817657655 1.020492008124619 0.9608705879685289 0.9923956394352172 1.0397316507905907 0.9731538090758728 1.0236155705035554 1.0 1.0 0.9801193195936716 1.0204906844464885 0.9608696703535866 0.9923951230962783 1.0397312968567565 0.973154212069266 1.0236155654451013 1.0 1.0
10,0.0010634451705913415,0.9798248474956442 1.0202057208370505 0.9604532092951577 0.9922448825817013 1.03956963477775 0.9728794705278286 1.0237720441292877 1.0 1.0 0.9798251731949432 1.020204918458486 0.9604519201507477 0.9922439087734694 1.0395692623727324 0.9728797101162754 1.0237716187668093 1.0 1.0
11,0.001056687657216392,0.9795882758444776 1.0199320846602333 0.9601012463974575 0.9921168698565797 1.039410287497418 0.9726368935566291 1.023843266138619 1.0 1.0 0.9795877611465531 1.0199308554909878 0.9601000552108993 0.9921163204732462 1.0394100846454413 0.9726374949174299 1.0238428997779545 1.0 1.0
12,0.0010514199786986569,0.979393607639397 1.0196725056325562 0.9597980917622503 0.9920090003560812 1.039258900814716 0.9724208512000356 1.0238590715665565 1.0 1.0 0.979393143105356 1.019670853420081 0.9597975495652304 0.9920083226097324 1.039258724011641 0.9724213965152743 1.0238585279136794 1.0 1.0
13,0.001047185521516985,0.9792318075795398 1.019427468553778 0.9595335491049943 0.9919175734940484 1.0391172188793243 0.9722256708190229 1.023841244135105 1.0 1.0 0.9792318321887106 1.019426397589402 0.9595326480031922 0.9919167300564603 1.0391171227708107 0.9722264402169103 1.0238404926040765 1.0 1.0
14,0.0010437298156929595,0.9790973283482352 1.0191985320368453 0.9592995260172177 0.9918413998879014 1.0389868382718892 0.9720492648346107 1.0238037859095424 1.0 1.0 0.9790967734045509 1.01919707465611 0.9592986000224953 0.9918400223641123 1.0389868000485687 0.9720501915817612 1.0238023007652262 1.0 1.0
