iterationNum,error,c_params
0,0.0004939294492171213,0.978676811742272 1.0155655137865276 0.9562935015714478 0.9923044145704766 1.0379668696483502 0.9699665765886128 1.0229368224938618 1.0 1.0 0.978658158833893 1.0156280173593986 0.9563282984646336 0.992335717702875 1.037930467713471 0.9699600496984562 1.0229238225580262 1.0 1.0
1,0.00041749272949980604,0.978068322286148 1.0163576711876836 0.9556761693613076 0.9915230368338203 1.0387677790907859 0.9691762585603385 1.0240055960166126 1.0 1.0 0.9780495800005523 1.0164197955245484 0.9557105370779764 0.9915541845075112 1.0387310829609533 0.9691699098303925 1.0239922665876662 1.0 1.0
2,0.0003735004699882754,0.977516974191999 1.017002177275869 0.9553161156262603 0.9908557135891201 1.0392215272877743 0.9686996470122865 1.0248657585597478 1.0 1.0 0.9774985359798262 1.0170649237294698 0.9553505541092351 0.990886492146855 1.0391843366909435 0.9686932875916021 1.0248528254190876 1.0 1.0
3,0.00034521213717593046,0.9770089747227315 1.0175668226941355 0.9551155658871738 0.9902732403849381 1.039478736641395 0.9684247021866577 1.0255389556928265 1.0 1.0 0.9769909612448077 1.017629822810565 0.9551502904940996 0.9903043488631934 1.0394418072961529 0.9684186019290605 1.0255260830432291 1.0 1.0
4,0.000325176982848285,0.9765525719187058 1.0180762138054493 0.9550321485745085 0.9897437801033555 1.0396155026204428 0.9682682382104859 1.026066088667396 1.0 1.0 0.9765346375268142 1.0181398782974393 0.9550668435162968 0.9897750970957854 1.0395785586731698 0.9682620616488827 1.0260533533837803 1.0 1.0
5,0.00030977685399193473,0.9761417848611007 1.0185497837524446 0.9550302755482796 0.9892523651089455 1.0396796814260687 0.9681857736984156 1.0264757785676348 1.0 1.0 0.9761236080842733 1.0186132619633632 0.9550650301514828 0.9892836030740573 1.0396426854977818 0.9681797828024015 1.0264631767678827 1.0 1.0
6,0.00029713190900232617,0.9757706023113403 1.0189970549067158 0.9550869596236745 0.988788242035069 1.0396990824090213 0.968149911266313 1.0267931531307668 1.0 1.0 0.9757525700308496 1.019060949024213 0.9551220963963877 0.9888195497626857 1.0396619818108686 0.9681437428419896 1.0267806849839671 1.0 1.0
7,0.00028622243655168796,0.9754328931442809 1.0194248255787115 0.9551856224167693 0.9883453070659013 1.0396903987878299 0.9681434359080746 1.0270380731811581 1.0 1.0 0.9754150568905037 1.0194885450780042 0.9552206294191088 0.9883767282951239 1.0396535167552987 0.9681374131486478 1.0270254867308022 1.0 1.0
8,0.0002764696144920005,0.9751233408631801 1.019837033261426 0.9553143483602786 0.9879201450841328 1.0396647211314878 0.9681560562067488 1.027226923846848 1.0 1.0 0.9751056215464706 1.0199008422714166 0.9553490280421053 0.9879513346298742 1.0396277772916216 0.9681499947756507 1.0272140157065603 1.0 1.0
9,0.0002675330939281126,0.9748370317975008 1.0202364003350262 0.9554639573087139 0.9875094051553512 1.039628285547964 0.9681814122779037 1.0273718032458696 1.0 1.0 0.974819478003549 1.0203004474217174 0.9554988805788422 0.9875405156808561 1.0395910215915374 0.9681751460908485 1.0273589830912762 1.0 1.0
