iterationNum,error,c_params
0,0.0005305775722161276,0.978676811742272 1.0155655137865276 0.9562935015714478 0.9923044145704766 1.0379668696483502 0.9699665765886128 1.0229368224938618 1.0 1.0 0.978658158833893 1.0156280173593986 0.9563282984646336 0.992335717702875 1.037930467713471 0.9699600496984562 1.0229238225580262 1.0 1.0
1,0.000447047746292773,0.9792853433961565 1.0147737970497905 0.956910728502284 0.9930859766454609 1.0371662354366435 0.9707571236564286 1.0218681069834372 1.0 1.0 0.9792664563192954 1.0148363408512338 0.9569456879395468 0.9931173888673739 1.0371299193867978 0.9707505266828286 1.0218550806161109 1.0 1.0
2,0.0003793640451296273,0.9798576815885948 1.0140746662460327 0.9574882860699009 0.9937912949654166 1.0364616865992025 0.9714679250206629 1.02091308132641 1.0 1.0 0.9798385821397182 1.0141372498877246 0.9575233938059002 0.9938228077741199 1.0364254452547423 0.9714612651528454 1.020900031402051 1.0 1.0
3,0.00032440011176044,0.9803958666616079 1.0134575075356358 0.9580288004644513 0.9944280049045496 1.035842020854707 0.9721072043351829 1.0200589213677393 1.0 1.0 0.9803765745123839 1.0135201303233743 0.9580640435889841 0.9944596104187705 1.0358058444327054 0.9721004880135069 1.020045850420885 1.0 1.0
4,0.0002796642329280498,0.9809017881024611 1.0129129007101179 0.9585346676803072 0.9950029452690968 1.0352973091824478 0.9726823091151537 1.019294243481555 1.0 1.0 0.9808823210172994 1.0129755617054435 0.9585700344865135 0.9950346361907872 1.035261189129712 0.972675542105415 1.0192811537487525 1.0 1.0
5,0.00024316827061682887,0.981377212616894 1.0124324901207187 0.9590080908381086 0.9955222476014359 1.0348187574773329 0.9731998093040678 1.0186089587374325 1.0 1.0 0.9813575866521139 1.012495188196398 0.9590435707014299 0.995554017177246 1.0347826863211549 0.9731929967658306 1.0185958521930187 1.0 1.0
6,0.00021332380413287836,0.9818238042044966 1.0120088682747717 0.9594511086921311 0.9959914141700963 1.034398581676874 0.9736655837228921 1.017994136842305 1.0 1.0 0.9818040338780758 1.0120716021606475 0.9594866919652173 0.9960232561548678 1.0343625528962888 0.9736587302702455 1.0179810152311235 1.0 1.0
7,0.00018885988166482984,0.9822431384112987 1.0116354711533095 0.9598656175130902 0.9964153863528733 1.0340298954274953 0.9740848960999342 1.017441880649614 1.0 1.0 0.982223236857019 1.0116982394751053 0.9599012954288377 0.9964472949742254 1.0339939033350938 0.9740780058581996 1.0174287455144968 1.0 1.0
8,0.00016875790346647574,0.9826367124045471 1.0113064843096784 0.9602533880013219 0.9967986048054007 1.0337066093186986 0.9744624620955382 1.0169452114858804 1.0 1.0 0.9826166915110599 1.0113692856224321 0.9602891525893619 0.9968305747339025 1.033670648961011 0.974455538751553 1.016932064192713 1.0 1.0
9,0.00015220006780247353,0.9830059521020319 1.0110167588396133 0.9606160785046519 0.9971450625768304 1.033423340743774 0.9748025085224659 1.0164979651557062 1.0 1.0 0.9829858226342235 1.0110795916551765 0.9606519225147545 0.9971770888929926 1.033387407810429 0.9747955553692093 1.016484806915169 1.0 1.0
10,0.00013852854366572159,0.9833522172360779 1.0107617363331356 0.9609552454846207 0.9974583521120882 1.0331753334341842 0.9751088257618666 1.0160946982148087 1.0 1.0 0.983331988946012 1.010824599143968 0.9609911623166799 0.997490430278459 1.0331394241790326 0.9751018457398404 1.0160815301008668 1.0 1.0
11,0.0001272131214876603,0.9836768050201397 1.0105373819684942 0.9612723519425398 0.9977417069512534 1.0329583857724458 0.9753848142384812 1.0157306039395104 1.0 1.0 0.9836564867438143 1.0106002732651993 0.9613083355880762 0.9977738327847021 1.0329224969449076 0.9753778099725151 1.0157174269062854 1.0 1.0
12,0.00011782556217899975,0.9839809528842581 1.0103401249526172 0.9615687743486933 0.9979980387963121 1.0327687870302757 0.9756335256877304 1.0154014373137774 1.0 1.0 0.9839605526315046 1.0104030432391098 0.9616048193332906 0.9980302084425678 1.0327329158134821 0.97562649951948 1.0153882522101658 1.0 1.0
