iterationNum,error,c_params
0,0.03895089077889247,1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1,0.00740876778558149,1.024845330174789 0.9848834424065228 1.0239154771611054 0.9852653476262349 0.985810181364715 0.9843363476670639 1.0174998172650156 1.0 1.0 1.0248447892868597 0.9848834108599036 1.0239151751245568 0.9852662632388784 0.9858098076848955 0.9843357614779852 1.0175004896989364 1.0 1.0
2,0.004368135986315332,1.0341988084138385 0.9814879328682969 1.0313847158946063 0.9806433604952987 0.9842995913987715 0.9778331565188365 1.0159723401946017 1.0 1.0 1.0341977723066462 0.9814865410392172 1.0313903787145822 0.9806433197317379 0.9842975996900526 0.9778327649799674 1.0159733386018208 1.0 1.0
3,0.0033816780534652708,1.0380256377584989 0.9814725839475062 1.0334559387635194 0.979815263673999 0.9860392632664996 0.9752501667065295 1.0106348720647258 1.0 1.0 1.0380248974765423 0.9814718762698438 1.0334624146928806 0.9798157041482694 0.9860371067177776 0.9752501901771174 1.010632705627807 1.0 1.0
4,0.0028872852095830973,1.0408814559764288 0.9811974732972314 1.0349186773472838 0.9795756658510296 0.9871594083402625 0.9736162682931518 1.0068198951713085 1.0 1.0 1.0408822334884649 0.9811954788290783 1.034923725777346 0.979575203882859 0.9871571353822289 0.9736151331252947 1.0068159287293112 1.0 1.0
5,0.0026342211273107582,1.0430072673170905 0.9808169936160493 1.0358854389770529 0.9797269815078685 0.9879384182211041 0.9726084966705489 1.0040898350328349 1.0 1.0 1.0430083216989825 0.9808152944173668 1.0358901148095714 0.9797276540503365 0.9879362494090775 0.9726077596191885 1.0040873034691478 1.0 1.0
6,0.002498698883484738,1.0446322677819089 0.9803854917341724 1.0365051099171483 0.9800980727264079 0.9885122263813998 0.9719729763346432 1.0021692550889898 1.0 1.0 1.0446345220499493 0.9803834665947699 1.0365110104471487 0.980098730986741 0.9885094009775588 0.9719718461334734 1.0021675099450515 1.0 1.0
7,0.0024210291771729897,1.0459094367352197 0.9799400300324259 1.036878516771028 0.9805843729567476 0.9889707481316466 0.9715549778468152 1.000831857295196 1.0 1.0 1.0459117245979797 0.9799384343722641 1.0368837179062662 0.9805853753847094 0.9889674588001228 0.9715539624806004 1.0008307365810634 1.0 1.0
8,0.0023724527845034433,1.046942144399384 0.9794979998677974 1.0370770510836784 0.9811256924966576 0.9893625564402482 0.9712621097149569 0.9999105485069232 1.0 1.0 1.046944775262929 0.9794963430251967 1.0370840703667994 0.9811264620501959 0.9893595543436563 0.9712613673408881 0.999909755029001 1.0 1.0
9,0.0023390513271192718,1.0477974009664266 0.9790686650207532 1.037150842918089 0.9816865038503662 0.9897143526207416 0.971041715267224 0.999280222555798 1.0 1.0 1.0478006408248601 0.9790671071890805 1.0371580436969958 0.9816878001634831 0.9897110407497304 0.9710411253271009 0.9992796962970268 1.0 1.0
10,0.0023139692925576855,1.0485244413559072 0.9786553241717052 1.0371395720570225 0.9822472017930607 0.990039040714229 0.9708640226800032 0.9988546202720778 1.0 1.0 1.0485275984642577 0.9786537420835532 1.0371480055549294 0.9822482018551458 0.9900362137793929 0.9708635674733235 0.9988551037854458 1.0 1.0
11,0.002293780993526372,1.0491541877597814 0.9782580817126181 1.0370680990745076 0.9827967375023364 0.9903439756123346 0.9707113902849236 0.99857073174948 1.0 1.0 1.0491564644916305 0.9782560797943546 1.0370752106322771 0.9827960660055002 0.990341219717761 0.9707109554752151 0.9985699094418325 1.0 1.0
12,0.002276739778119628,1.0497093738041958 0.977876927813919 1.0369550293496363 0.9833276412868032 0.9906307997580825 0.9705740186192688 0.9983847852879495 1.0 1.0 1.049712310306698 0.9778746731160194 1.0369624754990485 0.9833274868451048 0.9906282329866771 0.9705736041582644 0.9983839726077844 1.0 1.0
13,0.0022619203442009266,1.0502058500249567 0.9775095907053419 1.0368141286377384 0.9838368526227766 0.9909018517580572 0.9704460962440543 0.9982658862903625 1.0 1.0 1.0502086670925674 0.9775065381451251 1.0368211890872996 0.9838363650710283 0.990899021436741 0.9704456322242971 0.9982648513080886 1.0 1.0
14,0.0022487939432861374,1.0506562581593637 0.9771567483865629 1.0366550819726437 0.9843233151741568 0.991157688339651 0.9703239105401604 0.9981926512766063 1.0 1.0 1.0506579486964105 0.9771530750989362 1.0366625509407326 0.9843233165139006 0.9911550442351449 0.9703239569135076 0.9981909259928502 1.0 1.0
15,0.0022370354986308055,1.0510685009594567 0.9768172105624437 1.0364851727587872 0.9847877987443656 0.9913995723259472 0.9702064007649084 0.9981507461853051 1.0 1.0 1.0510699411075852 0.9768129106216186 1.03649316129239 0.9847877469896247 0.9913970379476821 0.9702067115099683 0.9981490988773684 1.0 1.0
16,0.0022264464627323394,1.0514485672177418 0.9764897002029069 1.0363093817623603 0.9852294289929501 0.9916278911622682 0.9700919607213654 0.9981299269808965 1.0 1.0 1.051450668782885 0.9764855415870957 1.0363175635266006 0.9852290918583768 0.9916249659494296 0.9700923140243263 0.9981285253846072 1.0 1.0
17,0.0022168807223689104,1.0518005431218216 0.9761737631332386 1.0361301801679554 0.9856489105374835 0.9918430065845222 0.9699805159272573 0.9981220162577066 1.0 1.0 1.0518021724394846 0.9761700742411786 1.0361389782540966 0.9856490315396649 0.9918397919530391 0.9699809019531667 0.9981208399356101 1.0 1.0
18,0.002208219063019539,1.0521276768485055 0.9758684986323406 1.03595059966133 0.9860465607601578 0.9920456068898436 0.9698715688762695 0.9981229922195085 1.0 1.0 1.0521291062696267 0.9758648415355732 1.0359584634659542 0.986046805032943 0.9920422046885043 0.9698717767525419 0.9981211199590926 1.0 1.0
19,0.0022003575773344346,1.052434453301897 0.9755744609164139 1.0357729707004104 0.986424866347588 0.9922360461488896 0.9697644332180725 0.9981294532858475 1.0 1.0 1.0524358237928442 0.9755707909159065 1.0357800591783188 0.9864243171715584 0.9922327522822824 0.9697645958216914 0.998127585727666 1.0 1.0
20,0.0021932274351347683,1.052721756775884 0.9752911505985464 1.03559714408747 0.9867832209598705 0.9924153911454917 0.9696594245073039 0.9981386966626012 1.0 1.0 1.0527224787437053 0.9752869686532961 1.03560461187699 0.9867820426026357 0.9924117761347732 0.9696593297084161 0.9981368394338185 1.0 1.0
21,0.002186750525122268,1.0529911224980357 0.9750176718834344 1.0354238653412164 0.9871222967538823 0.9925843915832026 0.9695566542466167 0.9981493714190572 1.0 1.0 1.0529920632325984 0.975013928714219 1.0354316575697726 0.9871214853502331 0.9925809929158798 0.9695566748775446 0.9981473258011216 1.0 1.0
