iterationNum,error,c_params
0,0.0007554397937681481,1.0577581290163252 0.9687606069158757 1.0310867453740127 0.9936450481619784 0.9954912966094002 0.966728263261663 0.9982532697189669 1.0 1.0 1.058024565508002 0.9685622219098127 1.0309874986293928 0.9935777476362849 0.995579137351788 0.9667666654084238 0.9981384725399618 1.0 1.0
1,0.0005589003527728422,1.058659791349392 0.9699741702004254 1.0320921242555217 0.9924803408005332 0.9966013805136581 0.9656658285331667 0.9961633129506862 1.0 1.0 1.0589273928911584 0.969774264228865 1.031991235667604 0.9924132077638282 0.9966906455950633 0.9657044203405412 0.9960473430680048 1.0 1.0
2,0.00044913835328435557,1.0592992762703286 0.9708458628672891 1.0330783512281643 0.9915751713685425 0.9971267204608619 0.9651054575965415 0.9945342625102048 1.0 1.0 1.0595681720224561 0.9706444643303832 1.032975950337815 0.9915084652883981 0.9972165054956587 0.9651444192217216 0.9944176026982345 1.0 1.0
3,0.0003811186256709295,1.0597001923059703 0.9715482063081832 1.0339570696552924 0.9908640172135493 0.9973518839134087 0.9648710976414177 0.9932196352494237 1.0 1.0 1.0599704677128796 0.9713459578633274 1.0338535353585583 0.9907973499393853 0.9974418990836338 0.9649101173335995 0.9931019328778126 1.0 1.0
4,0.00033530834585069003,1.0599377663313705 0.9721441485867665 1.034739255811693 0.9902663095678159 0.9974035790340001 0.9648165493867036 0.9921664760927739 1.0 1.0 1.0602094362421575 0.9719417055869758 1.0346349027466804 0.9902000488982193 0.9974940480862325 0.9648559179994993 0.9920482677184732 1.0 1.0
5,0.00030238414773517137,1.0600574452101061 0.9726744096131352 1.035433004668194 0.9897375741716673 0.9973597115201039 0.9648613558232635 0.9913235239681025 1.0 1.0 1.0603296939933333 0.972471069913526 1.0353279582634416 0.9896714221237051 0.9974506920168876 0.9649011553915 0.9912050752035212 1.0 1.0
6,0.00027744295064123373,1.0600905798383091 0.973162270518164 1.0360489895530622 0.9892534951364187 0.9972651450962917 0.9649594406221713 0.9906491227722392 1.0 1.0 1.0603637073049863 0.972958724490995 1.035943885753508 0.9891876699391868 0.9973562918075917 0.9649995724006297 0.9905307357772964 1.0 1.0
7,0.0002576782688625707,1.0600598664618335 0.9736215186337509 1.036598120101233 0.9887991536965928 0.9971443912877381 0.9650843310791513 0.990109922857741 1.0 1.0 1.0603333506838233 0.9734176271105212 1.0364926006648352 0.9887335415572659 0.9972360748845337 0.9651248309408629 0.9899913069990843 1.0 1.0
8,0.0002413847478672888,1.0599807357697364 0.9740602908098309 1.0370901405652893 0.9883665706736331 0.9970120205839753 0.9652223365150427 0.989678524981586 1.0 1.0 1.0602548902096365 0.9738559380920867 1.0369845957420638 0.9883012115865252 0.9971040343801327 0.9652630986035322 0.9895598643313332 1.0 1.0
9,0.0002274969053193963,1.0598660061866834 0.9744827934803538 1.037534121591925 0.9879507068388574 0.9968756525539488 0.9653649408473867 0.9893336247293336 1.0 1.0 1.0601404230972444 0.9742781348315726 1.037428243212883 0.987885416121445 0.9969679640931409 0.9654061762229194 0.9892148679690735 1.0 1.0
10,0.0002153225191560744,1.0597241567255447 0.9748918778652246 1.037937907385439 0.9875487798907452 0.9967392669978969 0.9655081783780981 0.9890578347603953 1.0 1.0 1.0599990524544385 0.9746869377146956 1.0378318971584153 0.987483643036188 0.9968317918496044 0.9655497692418022 0.9889389312253337 1.0 1.0
11,0.0002044184350611465,1.059562731872979 0.9752891848470111 1.0383076622070897 0.9871589149746324 0.9966049573108485 0.9656497828929791 0.9888375217088687 1.0 1.0 1.059838005939513 0.9750838721148293 1.0382016620006254 0.987094188766916 0.9966977577780255 0.9656916597513796 0.9887186202756323 1.0 1.0
12,0.0001944851043663574,1.0593865421749629 0.9756753531053485 1.0386491585548123 0.9867802365766138 0.9964736682208132 0.9657884792817951 0.9886617080262349 1.0 1.0 1.059662183362124 0.9754698902334477 1.0385430895191006 0.9867156299213432 0.9965666511478122 0.9658304973244681 0.9885426503607585 1.0 1.0
13,0.00018532511573614646,1.0592002581530375 0.9760515272114448 1.03896639266121 0.9864117847566723 0.9963459768509317 0.965923783303139 0.9885214021400971 1.0 1.0 1.0594760499509808 0.975845740238255 1.0388604144446125 0.9863474628393352 0.9964390108676189 0.9659657038168391 0.9884023276392299 1.0 1.0
14,0.00017680056343924468,1.0590068566524096 0.9764177655469416 1.0392634687703903 0.9860530358560193 0.9962216742717248 0.9660551624538182 0.9884096549012891 1.0 1.0 1.059282950632985 0.9762118232867039 1.0391573650315324 0.9859886983621138 0.9963149215169343 0.9660970989812006 0.9882905286912628 1.0 1.0
15,0.0001688170362854906,1.0588089965270637 0.9767747951755658 1.0395431560088104 0.9857036079372691 0.996101135126216 0.9661829742551253 0.9883206213946044 1.0 1.0 1.0590853719958264 0.9765685610441414 1.0394368330781911 0.9856393866493122 0.9961945284752798 0.9662250216238851 0.9882014298058557 1.0 1.0
16,0.00016130600806069247,1.0586086269958082 0.9771227932473586 1.0398075650644385 0.9853629747855567 0.9959840051902535 0.9663069628588786 0.9882498560194379 1.0 1.0 1.0588849657215516 0.9769160187895609 1.0397013043236585 0.9852987706864273 0.9960775764041857 0.9663491470774844 0.9881307015187906 1.0 1.0
17,0.00015421659398598848,1.0584073745126934 0.9774617788466109 1.0400589124652668 0.9850306760487225 0.9958701293948391 0.966427326277312 0.9881937726289309 1.0 1.0 1.0586837564683698 0.9772547519621143 1.039952685288171 0.9849666011010819 0.9959638999269762 0.9664696537373781 0.9880745567181267 1.0 1.0
18,0.00014750960566274903,1.058206301029317 0.9777923560006937 1.040298838834872 0.9847067498673048 0.9957595881253021 0.966544351604898 0.9881494336335435 1.0 1.0 1.0584827336260714 0.977584919312139 1.0401925798105154 0.984642683757315 0.9958534942052887 0.9665867636023183 0.9880301849952351 1.0 1.0
19,0.00014115343605042586,1.0580067252016279 0.9781148441158432 1.0405287180690639 0.98439072717568 0.9956520817803316 0.966657953643347 0.9881145554170027 1.0 1.0 1.0582830613005085 0.9779070065198092 1.0404223495029015 0.9843267746459597 0.9957461345073887 0.9667005016341306 0.9879952567667419 1.0 1.0
20,0.0001351228764468222,1.0578088153015819 0.9784290220394956 1.0407495016472708 0.9840823370729215 0.9955474102103882 0.9667683733157588 0.9880870241566396 1.0 1.0 1.0580852807070318 0.97822092322896 1.0406432165532369 0.9840185372509695 0.9956415848445048 0.9668108741912464 0.9879678408856681 1.0 1.0
21,0.0001293967587699878,1.0576135229455064 0.9787355489257684 1.040962366914583 0.9837816066925041 0.995445656680746 0.9668756489764795 0.9880655687245689 1.0 1.0 1.057890147220546 0.9785270994080545 1.04085603565005 0.9837179947254153 0.9955400281438455 0.9669182831689583 0.9879464019412917 1.0 1.0
22,0.00012395512445138664,1.057421295434164 0.9790346185729193 1.0411677922194784 0.9834882375958809 0.9953466223450256 0.9669800348630566 0.9880489301789984 1.0 1.0 1.0576980019615116 0.9788258621059821 1.0410614967669043 0.9834247003107098 0.9954411464239489 0.9670228005141513 0.9879297863706318 1.0 1.0
23,0.00011878117286081659,1.0572320654720901 0.9793261797216121 1.0413665125659985 0.98320188206343 0.9952500873001967 0.9670814641477208 0.9880360700413877 1.0 1.0 1.0575089587592181 0.9791171690921393 1.041260061657375 0.983138350514637 0.9953447557261368 0.9671242923899056 0.9879170299821158 1.0 1.0
24,0.00011385952797821537,1.0570462549402238 0.979610631587852 1.0415589036256974 0.9829223096329409 0.9951561991030436 0.9671801155135645 0.9880262711926353 1.0 1.0 1.0573232401803208 0.9794012368830299 1.041452574888646 0.9828588792666775 0.9952509611841058 0.967223014686536 0.9879071667026136 1.0 1.0
25,0.00010917582309825147,1.0568640455038871 0.9798882061443198 1.0417456027180088 0.9826494288085503 0.9950646136676381 0.9672760710001403 0.9880189473256301 1.0 1.0 1.0571411139978102 0.97967849593571 1.0416392659621139 0.9825861676575197 0.9951595193224232 0.9673191481668201 0.9878998377420808 1.0 1.0
26,0.00010471709200067805,1.0566854668074552 0.9801588345619004 1.041927017096328 0.9823829736691961 0.9949753466237142 0.967369506482567 0.9880135216979841 1.0 1.0 1.0569626222326265 0.9799489931521655 1.0418206269124286 0.9823197975274802 0.9950703376345393 0.9674126010538415 0.9878944522361053 1.0 1.0
27,0.00010047181322245051,1.056510660163228 0.9804230015176997 1.0421033496659773 0.9821228200742943 0.9948884203983078 0.9674603859868633 0.9880095349172554 1.0 1.0 1.0567879108265816 0.9802130699607883 1.0419968271723168 0.982059812488506 0.9949835212390197 0.9675036496574169 0.9878904489524669 1.0 1.0
28,9.642806627470235e-05,1.0563396302755126 0.9806807471536424 1.0422749331578236 0.9818687763362466 0.9948035019409558 0.9675487998007077 0.9880068914038422 1.0 1.0 1.056616819590799 0.9804707186413484 1.0421683522991918 0.9818058597912788 0.9948988725101113 0.9675922979032545 0.9878878220129048 1.0 1.0
29,9.257578492481411e-05,1.0561722340064723 0.9809323460111342 1.042441844666098 0.9816206471868173 0.9947207627340203 0.9676349517822311 0.9880052050645395 1.0 1.0 1.0564493902139147 0.980722120761991 1.042335256076134 0.9815578795809035 0.9948161593108084 0.9676784816109304 0.9878861299600481 1.0 1.0
30,8.890450756592911e-05,1.056008670118395 0.9811780808923718 1.0426045254282197 0.9813783583500749 0.9946400641091694 0.9677189050230406 0.988004240527162 1.0 1.0 1.0562859604331076 0.9809676962077751 1.0424980031213493 0.9813157222228261 0.9947356103051194 0.9677626255504675 0.987885209763857 1.0 1.0
31,8.540583432702968e-05,1.0558487500233977 0.9814178673586863 1.0427630293499466 0.9811416405096058 0.9945612191654819 0.9678006105873895 0.9880038711862072 1.0 1.0 1.0561261771823918 0.9812073805563902 1.042656447325776 0.9810791642848673 0.9946570308477453 0.9678444859443459 0.9878848585580838 1.0 1.0
32,8.207043900194317e-05,1.055692378409891 0.9816518456661314 1.0429175921059122 0.980910372925013 0.994484351938131 0.9678803380416059 0.9880039448097547 1.0 1.0 1.0559698960299244 0.9814412454308576 1.0428109311901685 0.9808479798289378 0.9945803150276112 0.9679241970289304 0.9878849246194079 1.0 1.0
33,7.888999824458333e-05,1.0555397725980733 0.9818804732094625 1.04306832697545 0.9806844529933422 0.9944093031594786 0.9679579686814475 0.9880044851417942 1.0 1.0 1.0558170486127623 0.9816695880898224 1.0429618596116375 0.980622332079592 0.9945054339127223 0.9680018487351061 0.9878854307849482 1.0 1.0
34,7.585695784068093e-05,1.0553905831034713 0.9821037653026905 1.0432153582349923 0.9804637610288306 0.9943360405478964 0.9680336343628289 0.9880052170749607 1.0 1.0 1.055667902825804 0.9818926132134423 1.0431089787840677 0.98040182139305 0.9944323709529584 0.968077614028925 0.9878862555074662 1.0 1.0
35,7.296354970150102e-05,1.0552447626482093 0.9823218481155991 1.043358911487962 0.9802481422479287 0.9942645855113282 0.9681073320489695 0.9880062260254464 1.0 1.0 1.055522186211049 0.9821104372992954 1.043252587851641 0.9801863355645588 0.994361057589879 0.96815149599584 0.9878872650384113 1.0 1.0
36,7.020280823245812e-05,1.0551022992634589 0.9825348296846138 1.0434990413077716 0.9800374193902779 0.994194767761764 0.9681792597727785 0.9880073651763307 1.0 1.0 1.0553798201698423 0.982323248105553 1.04339278045429 0.9799757835349625 0.9942913838138581 0.9682235025320063 0.9878884417024376 1.0 1.0
37,6.756899829092136e-05,1.0549631170699323 0.9827428082093348 1.0436358838892585 0.9798315213978334 0.9941265982772165 0.9682493851977503 0.9880086206727553 1.0 1.0 1.0552407504313914 0.9825310003517826 1.0435295655659196 0.9797700271649585 0.9942233749341705 0.9682936732972226 0.9878896848628679 1.0 1.0
38,6.50545045365121e-05,1.0548271803639284 0.982946093588061 1.043769532926681 0.9796302493375434 0.9940600758186333 0.9683177613276849 0.988010060875147 1.0 1.0 1.0551047531332525 0.9827339061714204 1.0436633157706425 0.9795688714521462 0.9941569005871571 0.9683621224502815 0.9878910239638493 1.0 1.0
