iterationNum,error,c_params
0,0.0004612270112471136,-0.0698 0.9364 0.0791 1.003 0.5247 1.3631 0.9543 1.069 1.0237 0.9811 0.4767 0.5753 0.8668 1.145 -0.0792 1.4046 1.1471 1.0516
1,0.00041913363434160976,-0.07047902179200846 0.9365727255650462 0.07959874525322287 1.0031766902765913 0.5244904015767646 1.3637206913798083 0.9548379981452827 1.069 1.0237 0.9817110541770122 0.47624087566470097 0.5753776442249849 0.8669258524627587 1.1442788495194585 -0.07887378915436709 1.4059267668096171 1.1471 1.0516
2,0.0003863717041470871,-0.07110031080949693 0.9367620356724995 0.08002603845935549 1.0033676125322488 0.5242852544041616 1.3642160476114498 0.9552796062171873 1.069 1.0237 0.9822760578778053 0.475827832144063 0.5754448946660419 0.8669813531465106 1.1437094310735112 -0.07857188692556225 1.4071256490690591 1.1471 1.0516
3,0.0003604202429611904,-0.07167168620358716 0.9369580612139327 0.08039901139423256 1.003563418269827 0.5240870634384517 1.364610728508112 0.9556330446041654 1.069 1.0237 0.9828014016206783 0.4754544908946371 0.57549946887448 0.8669871307867179 1.1432567364660362 -0.0782914102241377 1.4082102826185396 1.1471 1.0516
4,0.0003395353486820957,-0.07219950769325095 0.9371542147190645 0.08073017658947153 1.0037579356484267 0.5238972513966238 1.3649244225400445 0.9559068255654662 1.069 1.0237 0.9832924839796692 0.47511539216523646 0.575540224175939 0.8669586291377993 1.142894953373804 -0.0780304323952111 1.4091932270159058 1.1471 1.0516
5,0.00032247923616150444,-0.07268904489639302 0.9373462516226909 0.08102867790578018 1.0039472511195502 0.5237165089812285 1.3651728139162056 0.9561093138791565 1.069 1.0237 0.9837538711852954 0.4748058715423435 0.5755668146483949 0.8669072937456631 1.1426049448239053 -0.07778759566123239 1.4100859010092424 1.1471 1.0516
6,0.0003083538007301419,-0.07314471489656313 0.9375315886036188 0.08130124108990172 1.0041290424170115 0.5235450740250195 1.3653683984716485 0.9562484595062024 1.069 1.0237 0.9841894367954958 0.4745219471424211 0.5755794521360459 0.866841550539869 1.142372474893387 -0.07756184588609612 1.4108985877618672 1.1471 1.0516
7,0.00029649539468534037,-0.0735702549132609 0.9377087860382458 0.08155282737578674 1.0043020611263955 0.5233828667059484 1.3655211433070116 0.9563316469091012 1.069 1.0237 0.9846024592370836 0.47426021083159076 0.5755786854452859 0.8667675421802828 1.1421868347748911 -0.07735225686922699 1.4116404822997768 1.1471 1.0516
8,0.00028640632196064847,-0.07396887014022913 0.9378771510708024 0.08178714677668943 1.0044657829318682 0.5232295822998019 1.365638965974599 0.9563656262400267 1.069 1.0237 0.9849957349294085 0.47401775631755644 0.5755652273640607 0.8666897069957473 1.1420398194624486 -0.07715800766323534 1.4123197645249275 1.1471 1.0516
9,0.00027770893500542594,-0.07434333853224051 0.9380365078766499 0.08200700817715667 1.0046201431284936 0.5230848573444251 1.3657282420609376 0.956356499577464 1.069 1.0237 0.985371642691262 0.4737920782025733 0.5755399081729967 0.8666112296114041 1.141925114834177 -0.07697828375077896 1.41294368580078 1.1471 1.0516
10,0.00027011390782266827,-0.07469608573851058 0.9381870166840022 0.0822145759024061 1.0047653948227546 0.5229482621137793 1.3657940630644663 0.9563097356180854 1.069 1.0237 0.9857322176362315 0.47358103692976106 0.5755035971503133 0.866534364065152 1.1418377422898822 -0.07681227407253191 1.4135186564376478 1.1471 1.0516
11,0.00026339808956850124,-0.07502923363738306 0.9383290248273523 0.08241152026697232 1.0049019518327373 0.5228193894240869 1.3658405479523377 0.9562302056063122 1.069 1.0237 0.986079211981885 0.47338278941138623 0.5754571812400505 0.8664606783265572 1.1417737014890905 -0.07665920317286229 1.414050333017215 1.1471 1.0516
12,0.00025738795961811385,-0.07534465989877302 0.9384629874098306 0.0825991876538291 1.00503033627176 0.5226977692343492 1.3658709944001473 0.9561222288338869 1.069 1.0237 0.9864141246397208 0.4731957414263493 0.5754014676170948 0.8663911957799071 1.141729754862097 -0.07651826457627317 1.4145437008545767 1.1471 1.0516
13,0.00025194821310269884,-0.07564401858966513 0.9385894115063528 0.08277865039833598 1.0051511035631409 0.5225830031477414 1.3658880954895025 0.9559896228727438 1.069 1.0237 0.9867382480406589 0.47301852481263557 0.5753372624224707 0.8663266036378414 1.1417032265855767 -0.07638868325478293 1.4150031508018535 1.1471 1.0516
14,0.00024697253482472653,-0.07592879430019293 0.9387088380698303 0.082950795563059 1.0052648327769187 0.5224747016209282 1.3658940303415568 0.9558357530064749 1.069 1.0237 0.9870527063750641 0.4728499514363948 0.5752653047813807 0.8662672960199764 1.1416918671550595 -0.0762696971593965 1.4154325484079897 1.1471 1.0516
15,0.00024237727638806882,-0.07620027670232393 0.9388218097321149 0.08311636085683655 1.0053720715343624 0.522372503603617 1.365890579155983 0.9556635799285625 1.069 1.0237 0.9873584684658662 0.4726889964513821 0.5751862970743484 0.8662134646819494 1.1416937964730276 -0.0761605544605917 1.4158352956862854 1.1471 1.0516
16,0.00023809618089221628,-0.07645965095697119 0.9389288275555121 0.0832759638692807 1.0054733574016053 0.5222760671920599 1.3658791976842872 0.9554757041500266 1.069 1.0237 0.9876563726238596 0.472534762666721 0.5751008640686202 0.8661651573967917 1.1417073672396667 -0.07606055002139701 1.4162143870005144 1.1471 1.0516
17,0.000234076614144338,-0.0767079684609655 0.9390303685451149 0.08343014066494815 1.005569188685252 0.5221850727895797 1.3658610683770884 0.9552744082559959 1.069 1.0237 0.9879471587579606 0.47238648339079725 0.5750095911276976 0.8661223127126394 1.1417311837002835 -0.07596899459986023 1.4165724583801722 1.1471 1.0516
18,0.00023027669199501678,-0.07694616128098741 0.9391268897653103 0.08357934625974175 1.0056600375077673 0.5220992422475165 1.3658371871385206 0.9550616936849651 1.069 1.0237 0.9882314643200258 0.4722434819365104 0.5749130316390283 0.8660848110323756 1.1417640061837095 -0.07588523853821383 1.4169118310991062 1.1471 1.0516
