strain,stress
0.0000,122.27
0.0000,122.50
0.0000,123.83
0.0000,124.24
0.0000,125.00
0.0001,126.68
0.0001,127.45
0.0001,126.83
0.0001,128.70
0.0002,129.89
0.0002,130.93
0.0003,129.83
0.0003,131.50
0.0003,132.27
0.0003,130.88
0.0004,129.01
0.0004,126.92
0.0003,126.16
0.0003,125.95
0.0003,125.95
0.0003,125.60
0.0003,125.87
0.0003,126.01
0.0003,126.01
0.0003,125.87
0.0003,125.87
0.0003,126.01
0.0002,126.08
0.0003,125.80
0.0003,126.15
0.0003,126.01
0.0003,125.94
0.0003,126.29
0.0003,126.02
0.0003,126.08
0.0003,126.02
0.0004,125.95
0.0003,126.09
0.0004,125.88
0.0003,126.02
0.0003,125.60
0.0003,126.08
0.0003,126.22
0.0003,125.81
0.0003,125.88
0.0003,125.87
0.0002,126.35
0.0002,126.28
0.0003,126.15
0.0003,126.08
0.0002,126.08
0.0002,126.07
0.0003,126.29
0.0003,126.22
0.0003,126.29
0.0004,116.17
0.0003,126.16
0.0003,126.09
0.0004,125.95
0.0003,125.88
0.0003,126.02
0.0003,126.15
0.0003,126.22
0.0003,126.16
0.0003,126.01
0.0003,125.74
0.0003,126.22
0.0003,126.29
0.0003,126.15
0.0003,126.15
0.0003,125.73
0.0003,126.29
0.0003,126.50
0.0003,126.43
0.0003,126.57
0.0003,126.29
0.0003,126.01
0.0003,126.43
0.0003,126.22
0.0003,126.36
0.0004,126.02
0.0003,126.43
0.0004,126.30
0.0004,126.17
0.0005,126.45
0.0006,126.33
0.0007,126.35
0.0011,126.53
0.0015,126.37
0.0019,126.43
0.0025,126.43
0.0031,126.58
0.0038,126.38
0.0044,126.74
0.0050,126.96
0.0054,126.80
0.0057,126.98
0.0059,127.29
0.0060,127.78
0.0061,128.01
0.0061,128.16
0.0061,128.78
0.0061,129.62
0.0061,129.14
0.0061,129.69
0.0062,130.75
0.0061,131.30
0.0061,131.44
0.0062,132.29
0.0062,133.34
0.0062,133.77
0.0063,134.13
0.0064,134.35
0.0064,135.33
0.0065,135.62
0.0065,135.69
0.0066,136.05
0.0066,136.27
0.0068,136.15
0.0070,135.96
0.0072,136.41
0.0075,136.67
0.0079,136.59
0.0086,131.73
0.0089,136.83
0.0089,136.83
0.0089,137.21
0.0088,132.08
0.0086,137.42
0.0085,137.24
0.0086,137.20
0.0086,137.17
0.0087,137.32
0.0087,137.58
0.0088,137.70
0.0090,138.13
0.0089,138.73
0.0089,139.07
0.0089,138.68
0.0088,139.02
0.0087,140.59
0.0086,140.06
0.0086,140.44
0.0087,136.80
0.0087,141.64
0.0087,142.56
0.0088,139.21
0.0089,143.25
0.0091,142.93
0.0097,138.51
0.0105,143.91
0.0114,139.04
0.0116,144.35
0.0117,144.43
0.0117,144.71
0.0116,144.56
0.0116,144.87
0.0115,144.79
0.0114,144.96
0.0114,145.24
0.0114,145.17
0.0115,144.86
0.0116,141.89
0.0118,138.63
0.0118,138.74
0.0118,139.31
0.0118,139.09
0.0118,139.44
0.0117,139.16
0.0117,139.50
0.0116,139.60
0.0118,141.00
0.0118,140.40
0.0118,141.74
0.0118,141.52
0.0118,142.37
0.0119,142.45
0.0118,143.33
0.0120,143.98
0.0123,143.33
0.0128,143.68
0.0139,143.87
0.0147,143.98
0.0150,144.25
0.0150,144.53
0.0151,144.61
0.0150,144.35
0.0150,144.85
0.0150,144.91
0.0150,144.95
0.0150,145.23
0.0150,145.23
0.0150,145.41
0.0150,145.63
0.0150,145.63
0.0150,147.01
0.0151,145.53
0.0151,146.94
0.0151,147.41
0.0151,147.83
0.0151,147.72
0.0151,147.97
0.0150,148.03
0.0150,148.88
0.0151,147.97
0.0150,150.44
0.0151,148.97
0.0151,149.92
0.0151,150.62
0.0151,150.77
0.0153,152.11
0.0156,151.37
0.0162,151.25
0.0165,152.93
0.0166,152.48
0.0166,153.41
0.0171,152.06
0.0176,153.38
0.0183,152.25
0.0185,153.63
0.0186,152.89
0.0185,153.14
0.0185,153.67
0.0186,153.67
0.0186,153.78
0.0186,153.68
0.0186,153.79
0.0186,153.93
0.0186,153.97
0.0186,153.96
0.0186,154.10
0.0186,154.67
0.0186,155.10
0.0185,155.45
0.0185,155.13
0.0186,155.84
0.0186,156.30
0.0186,156.42
0.0186,157.38
0.0187,157.28
0.0187,156.89
0.0187,158.07
0.0188,158.00
0.0188,157.66
0.0188,158.72
0.0192,159.26
0.0198,158.80
0.0197,159.19
0.0197,160.58
0.0197,161.50
0.0201,159.99
0.0205,160.16
0.0204,161.47
0.0205,161.69
0.0205,162.56
0.0207,161.27
0.0209,163.26
0.0210,163.13
0.0213,162.18
0.0216,162.98
0.0217,163.11
0.0217,161.83
0.0217,162.96
0.0217,162.64
0.0217,162.82
0.0217,163.71
0.0217,163.43
0.0217,164.14
0.0217,163.08
0.0218,162.55
0.0218,163.80
0.0218,163.27
0.0218,162.63
0.0217,163.83
0.0217,162.65
0.0217,163.61
0.0217,163.65
0.0217,164.86
0.0217,164.94
0.0218,164.27
0.0218,164.02
0.0218,164.95
0.0219,164.60
0.0219,165.42
0.0218,165.60
0.0221,165.32
0.0229,167.10
0.0231,166.66
0.0231,167.17
0.0232,167.28
0.0232,167.75
0.0232,167.82
0.0232,167.44
0.0232,169.04
0.0233,168.30
0.0233,169.28
0.0243,169.38
0.0244,169.89
0.0245,169.79
0.0245,170.40
0.0247,171.24
0.0251,171.77
0.0252,171.92
0.0252,172.42
0.0252,171.85
0.0252,172.50
0.0253,173.62
0.0253,172.09
0.0254,173.43
0.0259,172.41
0.0262,173.47
0.0263,172.37
0.0263,174.27
0.0263,174.24
0.0265,173.58
0.0265,175.07
0.0267,173.94
0.0268,174.60
0.0268,174.64
0.0268,173.53
0.0268,175.72
0.0268,173.79
0.0268,175.01
0.0268,174.43
0.0268,174.79
0.0269,174.58
0.0268,175.90
0.0268,177.16
0.0269,175.34
0.0268,175.08
0.0268,175.12
0.0269,175.55
0.0269,176.31
0.0269,176.17
0.0269,175.88
0.0269,176.92
0.0269,177.68
0.0269,176.28
0.0269,177.28
0.0270,177.37
0.0272,177.23
0.0273,178.58
0.0273,176.89
0.0273,178.48
0.0273,179.30
0.0281,176.38
0.0288,178.09
0.0288,178.70
0.0288,179.18
0.0289,179.44
0.0290,180.18
0.0300,181.12
0.0307,179.15
0.0312,180.18
0.0312,181.02
0.0312,181.08
0.0312,182.89
0.0312,181.59
0.0312,182.67
0.0312,183.15
0.0312,181.85
0.0313,181.46
0.0313,182.79
0.0313,183.91
0.0313,183.24
0.0313,181.90
0.0313,184.14
0.0313,182.66
0.0313,184.00
0.0313,183.99
0.0313,183.24
0.0313,185.18
0.0313,185.08
0.0313,185.34
0.0313,184.21
0.0314,184.47
0.0313,185.59
0.0314,183.58
0.0314,184.23
0.0316,183.66
0.0319,185.23
0.0325,186.21
0.0326,184.60
0.0326,187.34
0.0331,187.05
0.0332,187.61
0.0332,186.34
0.0333,186.50
0.0332,186.20
0.0333,187.00
0.0333,187.58
0.0332,187.83
0.0332,187.83
0.0333,186.93
0.0332,188.23
0.0333,186.21
0.0332,188.34
0.0333,186.89
0.0332,189.64
0.0333,189.57
0.0333,188.45
0.0333,190.80
0.0333,190.81
0.0333,188.82
0.0333,189.40
0.0333,189.80
0.0333,190.42
0.0334,190.03
0.0335,190.85
0.0336,192.16
0.0336,191.67
0.0336,192.61
0.0337,190.01
0.0336,192.76
0.0337,191.02
0.0337,190.56
0.0337,190.92
0.0337,193.25
0.0357,191.48
0.0358,194.37
0.0366,192.61
0.0374,192.34
0.0374,192.81
0.0375,192.97
0.0375,194.24
0.0375,194.10
0.0375,193.26
0.0375,193.99
0.0375,194.20
0.0375,194.35
0.0375,194.31
0.0375,194.89
0.0375,196.53
0.0375,193.52
0.0376,194.32
0.0375,194.43
0.0376,194.22
0.0375,193.66
0.0375,196.03
0.0375,194.65
0.0375,195.29
0.0375,195.16
0.0375,196.72
0.0375,196.87
0.0377,197.31
0.0380,198.30
0.0385,197.02
0.0390,197.67
0.0392,198.07
0.0392,198.59
0.0392,199.72
0.0393,199.26
0.0393,198.06
0.0393,199.70
0.0393,197.77
0.0393,199.67
0.0402,199.84
0.0403,199.82
0.0402,200.94
0.0403,201.10
0.0403,200.37
0.0403,199.32
0.0403,201.10
0.0404,198.64
0.0404,200.51
0.0405,199.06
0.0404,200.59
0.0404,200.69
0.0404,199.78
0.0404,202.26
0.0405,198.66
0.0405,199.35
0.0404,201.93
0.0405,202.31
0.0404,202.74
0.0405,200.37
0.0405,199.72
0.0405,199.10
0.0405,201.40
0.0405,202.64
0.0405,203.77
0.0405,199.69
0.0405,202.09
0.0405,203.33
0.0405,203.81
0.0406,201.52
